channel_title,subscriber_count,num_streams,sum_durations_s,sum_durations_hms,sum_comments,sum_accounts,cps,mean_accounts,stdev_comments,stdev_accounts,mean_members0,mean_members1,mean_members2,mean_members3,mean_members4,mean_members5,mean_members6
月ノ美兎,681000,14,106406,29h 33m 26s,204921,31120,1.9258406480837547,2222.8571428571427,11338.368992588305,799.9633508088747,100.0,0.0,0.0,0.0,0.0,0.0,0.0
勇気ちひろ,374000,35,721288,200h 21m 28s,369792,45384,0.5126828673151362,1296.6857142857143,4755.557506572634,514.3394262334467,78.2646462687312,4.175497101223709,2.2668985565627513,6.0329655697317035,5.316158987398145,2.2935489546479464,1.6502845617045492
エルフのえる _ にじさんじ所属,186000,27,351155,97h 32m 35s,62805,10696,0.17885264341957255,396.14814814814815,1693.3520996335444,258.62115204464675,81.980384581914,1.8094332190321145,0.8591764788916456,4.133101136960911,2.395049588387194,8.822854994814136,0.0
樋口楓【にじさんじ所属】,376000,25,241298,67h 1m 38s,155146,19674,0.6429643014032441,786.96,8030.020447670106,835.2132202817036,64.02351017605726,1.3725563782407368,1.2906706793943954,2.1489062157371888,17.199932815330577,13.96442373523984,0.0
Shizuka Rin Official,314000,23,481190,133h 39m 50s,105226,8137,0.21867869240840415,353.7826086956522,2783.427032181419,156.0116419087601,62.4754446967148,1.2804059905916652,1.3714295105825505,0.991175638777186,10.568869479850779,5.816093548168811,17.4965811353142
渋谷ハジメのはじめ支部,118000,28,347878,96h 37m 58s,49769,7248,0.14306452261999897,258.85714285714283,2286.3074787889177,357.007284320924,83.99104007213028,1.6347844603481398,0.9346610827513248,3.9563479037630183,6.903008904777576,1.889960868181896,0.6901967080477718
鈴谷アキの陽だまりの庭,106000,24,118850,33h 0m 50s,98561,6467,0.8292890197728229,269.4583333333333,1782.5906033237052,50.72258665625649,49.14179774078252,3.6580568442532315,2.7872833211214694,4.572514424281305,10.007549262104515,29.832798407456963,0.0
《にじさんじ所属の女神》モイラ,114000,8,60304,16h 45m 4s,23002,2552,0.3814340673918811,319.0,1299.9004082730996,95.96427906853079,100.0,0.0,0.0,0.0,0.0,0.0,0.0
鈴鹿詩子 Utako Suzuka,402000,7,51050,14h 10m 50s,36205,5190,0.7092066601371204,741.4285714285714,3961.470367955625,463.6697305708224,80.649186394804,0.8841357973827013,0.85035428510616,2.854185920443032,4.453308627865914,10.308828974398185,0.0
宇志海いちご,145000,17,159839,44h 23m 59s,40281,4471,0.25200983489636447,263.0,1044.097344458783,121.40376847528252,71.06529813395717,3.2399103418918376,1.811650409732352,3.3269739288547577,15.615524711359623,3.757823323904771,1.1828191502994894
家長むぎ【にじさんじ所属】,144000,9,36684,10h 11m 24s,13200,2343,0.3598298985933922,260.3333333333333,978.5724296136694,118.37018205612425,57.5440365289044,2.3837935837380537,3.813668937251507,3.6566367656788614,7.264839066390136,25.337025118037047,0.0
Yuhi Riri Official,156000,21,227071,63h 4m 31s,82992,9001,0.36548920822121717,428.6190476190476,2015.069403271262,166.46245107845678,68.3470095438088,2.19297715667851,1.982745804820889,5.713798130767418,6.721925798215582,15.041543565708812,0.0
♥️♠️物述有栖♦️♣️,221000,7,56672,15h 44m 32s,21705,2343,0.38299336533032186,334.7142857142857,1141.689495774532,93.20893069821561,54.78899964174901,1.6900724908793208,3.5951615321399033,5.881118970935284,13.459088810342962,10.709970566887835,9.875587987065684
文野環【にじさんじの野良猫】ふみのたまき,231000,13,47501,13h 11m 41s,84768,15843,1.7845519041704385,1218.6923076923076,3914.3096568543974,580.8386730431816,100.0,0.0,0.0,0.0,0.0,0.0,0.0
伏見ガク【にじさんじ所属】,111000,18,94199,26h 9m 59s,62373,7956,0.6621407870571875,442.0,1622.538361732664,124.84201781357392,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilzaren III Season 2,79200,1,13202,3h 40m 2s,19360,2777,1.4664444781093773,2777.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
剣持刀也,276000,11,46437,12h 53m 57s,76164,23078,1.6401576329220233,2098.0,7261.96795641512,1512.8146614836862,100.0,0.0,0.0,0.0,0.0,0.0,0.0
森中花咲,197000,6,79713,22h 8m 33s,42037,5006,0.5273543838520693,834.3333333333334,8392.064618832881,791.249307529976,75.4993183983701,1.1840222883502018,0.87787433672283,1.6522027498457155,5.7531559025640995,15.033426324147053,0.0
Kanae Channel,535000,24,277083,76h 58m 3s,253228,46429,0.913906663346362,1934.5416666666667,7428.647250409357,837.8476036153937,67.06582300137312,6.51511391735043,4.126370748532737,8.741747298746482,7.711552187600167,4.784957910601323,1.0544349357957492
赤羽葉子ちゃんねる,129000,7,29712,8h 15m 12s,7158,1849,0.24091276252019386,264.14285714285717,601.2655700389685,149.4516962895019,100.0,0.0,0.0,0.0,0.0,0.0,0.0
笹木咲 _ Sasaki Saku,517000,10,43660,12h 7m 40s,83110,14719,1.9035730645900137,1471.9,4143.74186776477,424.55007557020485,75.09797248217542,1.2539711280000596,1.1167218844581093,4.252395405117735,8.622933630645617,9.656005469603054,0.0
本間ひまわり - Himawari Honma -,580000,15,143041,39h 44m 1s,200643,22955,1.4026957305947245,1530.3333333333333,6599.037799991321,733.959873043544,78.01835410815237,0.951084582076039,0.9555959495530689,2.5777430751784514,7.726527560922036,9.246193265589637,0.5245014585283975
魔界ノりりむ,188000,23,269717,74h 55m 17s,194621,21783,0.7215748358464613,947.0869565217391,4849.909989385199,1069.942263227468,84.31705915631383,2.3869390366740895,0.8389324955946466,1.7208641561597253,4.549031540800921,5.775772409757236,0.411401204699556
Kuzuha Channel,595000,29,444538,123h 28m 58s,539487,95377,1.2135902892441142,3288.862068965517,11016.267250882085,1278.9971720101073,65.61251045777412,3.737257552934287,6.595152396026392,7.262779176896772,13.537998090978416,3.0184156168596634,0.2358867085303559
椎名唯華 _ Shiina Yuika,413000,25,261859,72h 44m 19s,172973,28049,0.6605577810959333,1121.96,4381.652322659417,701.5609073107386,63.62591703242214,1.5681857400357213,1.6966939071317149,4.273939508025606,7.472364319987257,17.02010579848311,4.3427936939144525
ドーラ,245000,12,132029,36h 40m 29s,60294,9150,0.4566723977308016,762.5,2968.855044074613,498.4352789206712,72.48488369581634,2.1204945919066738,0.8993892928972139,2.6928000827975622,5.456801398917798,16.345630937664424,0.0
轟京子_kyoko todoroki【にじさんじ】,85700,17,153292,42h 34m 52s,30164,4972,0.19677478276752863,292.47058823529414,1094.3383241242439,178.22637208304036,88.1683525250649,1.53111340531947,0.7068974324539762,0.9846653115663393,2.26992831762858,6.339043007966734,0.0
シスター・クレア -SisterClaire-,321000,23,108961,30h 16m 1s,86162,13992,0.7907599966960656,608.3478260869565,2990.018875771582,508.8676921000597,54.53039361889485,4.344131253687877,10.572878777960014,1.4916808448031904,12.835578165633544,16.225337339020523,0.0
花畑チャイカ,265000,5,31055,8h 37m 35s,47230,9988,1.520850104653035,1997.6,8814.739984820879,1277.6675232626053,83.47029503692312,1.942274675960321,0.7021000777806585,2.9795945447599492,9.077717342909716,1.7538674271886614,0.07415089447757325
社築,386000,26,248524,69h 2m 4s,304504,40776,1.225249875263556,1568.3076923076924,8016.809503882356,818.7393611757417,87.01985055615607,1.0335858621454872,1.1450530295828807,8.526243739019405,1.489961801699605,0.7853050113965538,0.0
安土桃,87500,28,228332,63h 25m 32s,36474,5548,0.15974107878002208,198.14285714285714,1715.0897442081073,251.2740446258736,84.27689288225064,1.5064307993152861,4.076295460692002,2.1447124110112648,5.745577745353658,2.2500907013771485,0.0
鈴木勝 _ Suzuki Masaru【にじさんじ】,128000,20,243198,67h 33m 18s,87603,9692,0.3602126662225841,484.6,3008.2963752893343,255.83781869317954,74.18971964958266,3.1789547801558653,1.6241117193487657,2.607325452198925,13.762372917411101,4.637515481302692,0.0
緑仙channel,391000,9,28124,7h 48m 44s,28234,5243,1.003911250177784,582.5555555555555,2646.894144296502,394.99876933704206,72.51695191320813,2.822925890274652,1.370631405331399,2.424564713201116,10.879625577349252,9.985300500635454,0.0
卯月コウ,149000,14,151809,42h 10m 9s,136380,19038,0.8983657095429125,1359.857142857143,8741.120608623673,1189.0281653610978,65.11904664032176,2.8267775005838383,1.2260716206365292,3.400758089793296,9.41482859623358,18.012517552431,0.0
【にじさんじ】神田笑一,154000,27,243652,67h 40m 52s,81268,9866,0.3335412801864955,365.4074074074074,4558.650347888286,409.94730048359776,78.54403024034575,1.5703064986770943,0.6008256565147773,2.4268534078306496,13.855790836029774,3.002193360601956,0.0
飛鳥ひな【にじさんじ所属】,91000,5,15480,4h 18m 0s,15615,2530,1.0087209302325582,506.0,3786.8362124602113,569.7960161320891,72.74894974462647,5.749750828201727,0.9378477783926221,2.6003837395941325,10.910423644803675,7.052644264381364,0.0
春崎エアル,57700,17,142938,39h 42m 18s,30381,4794,0.21254669856861017,282.0,924.5386607893245,105.70241246064349,100.0,0.0,0.0,0.0,0.0,0.0,0.0
雨森小夜,128000,1,4737,1h 18m 57s,2622,679,0.5535148828372387,679.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
鷹宮リオン,319000,31,261505,72h 38m 25s,173589,26447,0.6638075753809679,853.1290322580645,4107.438273412332,512.4592173650168,82.62486127091984,2.000248493165595,1.2905489905089695,1.586190215884058,5.0012039278689056,6.605081944826807,0.8918651568258215
舞元啓介,268000,7,49988,13h 53m 8s,65551,8323,1.3113347203328798,1189.0,11557.647999732224,646.93533937584,85.02830410342939,0.36621202372248296,0.5662201994736097,3.252483947851587,6.757175380524955,4.029604344997967,0.0
竜胆 尊 _ Rindou Mikoto,376000,9,44552,12h 22m 32s,51853,12318,1.1638759202729394,1368.6666666666667,4934.839285911728,2020.4166649480992,79.10962133655376,2.4096416089779136,1.314002945151445,3.427488878124206,5.235871821231564,8.503373409961112,0.0
でびでび・でびる,326000,25,162018,45h 0m 18s,124702,17341,0.7696799121085312,693.64,4182.299705504935,414.38618059325614,67.39691894228396,3.375417176476284,2.749538381103529,7.003030997838911,10.934346416651653,8.540748085645662,0.0
桜凛月,178000,28,191093,53h 4m 53s,76696,7407,0.401354314391422,264.5357142857143,1870.0976943046014,79.13349346743001,59.99025978539456,1.8673537914413465,2.7121567832442595,7.251708240791032,11.398976399372268,16.601535115863058,0.17800988389347905
町田ちま【にじさんじ】,259000,10,44222,12h 17m 2s,53781,9567,1.216159377685315,956.7,1813.9691562978683,258.20321454234454,78.1858519049896,4.121413464323242,2.1879520690678698,7.639509297681483,7.658554917684568,0.20671834625322996,0.0
ジョー・力一 Joe Rikiichi,251000,13,128391,35h 39m 51s,93989,12862,0.7320528697494373,989.3846153846154,3848.1132706288345,462.6453894834103,75.34624929562398,2.1275356197440685,2.2457892940043105,5.0265313618830545,8.581474605707285,6.6724198230372975,0.0
成瀬 鳴 _ Naruse Naru【にじさんじ】,64200,23,135989,37h 46m 29s,47391,8361,0.3484914221003169,363.5217391304348,2671.301178853162,295.1112070151333,79.30143324425548,4.682472306387972,0.6645546656438928,3.6789995358257404,9.605951048384558,2.066589199502366,0.0
ベルモンド・バンデラス,301000,15,223012,61h 56m 52s,100090,10438,0.4488099295105196,695.8666666666667,5369.123001899268,405.18159362133395,86.21716467225276,0.521967853078902,1.0034934144962102,2.0812787447073076,8.49659862190843,1.6794966935563882,0.0
矢車りね - Rine Yaguruma -,65700,0,0,0h 0m 0s,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
夢追翔のJUKE BOX,219000,14,63553,17h 39m 13s,54232,7612,0.8533350117224994,543.7142857142857,2782.1072928647072,243.03099788723645,66.42933467917075,2.5611272831927154,2.0652703062209725,10.71717557270231,15.98629796385047,2.2407941948627816,0.0
黒井しば【にじさんじの犬】,142000,2,9582,2h 39m 42s,4035,1074,0.4211020663744521,537.0,638.5174234114525,79.19595949289332,92.16324899292859,1.317869951934033,1.0649188558126164,1.000234895681776,2.44747276787749,2.006254535765497,0.0
童田明治-わらべだめいじー-,215000,0,0,0h 0m 0s,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
【3年0組】郡道美玲の教室,286000,22,206328,57h 18m 48s,69398,8808,0.3363479508355628,400.3636363636364,1620.1617710902094,214.03216168082363,67.34053880011076,1.9299267586908706,1.2866633210342435,3.1788161750141333,10.602034902571917,15.662020042578073,0.0
夢月ロア🌖Yuzuki Roa,327000,0,0,0h 0m 0s,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小野町 春香 _ Onomachi Haruka 【にじさんじ】,111000,28,222366,61h 46m 6s,32789,4004,0.1474550965525305,143.0,1246.216956384783,85.13475157610978,80.94339979891694,3.4760044960569747,0.6527247722240656,3.5751871390992656,3.787825831162842,7.564857962539916,0.0
語部紡,56600,0,0,0h 0m 0s,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
瀬戸 美夜子 - Miyako Seto,92400,5,32996,9h 9m 56s,9962,1383,0.30191538368287063,276.6,664.7622131258665,88.68652659789987,78.568326343511,1.0783627890399068,0.6223047209215371,1.5081389741073439,5.795756850777111,12.427110321643092,0.0
御伽原 江良 _ Otogibara Era【にじさんじ】,502000,7,23355,6h 29m 15s,21036,6048,0.9007064868336545,864.0,1434.0661803151936,201.93893466425274,67.53407099220017,1.7250399506390812,1.0216581557823747,3.978431028650708,9.485430345831869,16.255369526895798,0.0
戌亥とこ -Inui Toko-,382000,13,68864,19h 7m 44s,107260,16148,1.5575627323420074,1242.1538461538462,4396.166742247276,444.4374433209257,51.07996645829798,5.873644913014785,3.717287632401482,9.720451446092662,21.22380735241253,8.38484219778056,0.0
アンジュ・カトリーナ - Ange Katrina -,417000,7,50028,13h 53m 48s,97433,14429,1.9475693611577516,2061.285714285714,4944.6993841890935,359.38313551868026,72.65818352121116,1.413147413564223,1.1043393933115189,3.4877915639358177,21.33653810797729,0.0,0.0
リゼ・ヘルエスタ -Lize Helesta-,441000,10,65980,18h 19m 40s,130422,20985,1.976689906032131,2098.5,7832.4322006499215,1022.9118838992058,67.7045065636634,2.9265562362144544,2.4316110459863585,4.139934209009159,12.613381441923218,10.184010503203414,0.0
三枝明那 _ Saegusa Akina,261000,15,173564,48h 12m 44s,173511,24845,0.9996946371367335,1656.3333333333333,6907.279543041116,973.4698371339114,64.48869409939935,7.4062377168443545,3.4197068961399477,5.947753636717562,13.323136336029995,5.414471314868788,0.0
愛園 愛美_Aizono Manami,133000,15,184551,51h 15m 51s,54968,4645,0.29784720754696536,309.6666666666667,3480.568177481263,157.76595081986238,86.5548944047912,0.4692306964998887,0.13152002662024934,0.6896699342659635,2.4319648863375947,9.722720051485107,0.0
鈴原るる【にじさんじ所属】,485000,18,223730,62h 8m 50s,401963,30168,1.79664327537657,1676.0,12425.787269675988,733.8256725183842,67.84615935660464,2.0080856765485335,0.6808901784474809,5.593298557450241,12.457325877800546,11.41424035314856,0.0
雪城眞尋_Yukishiro Mahiro【にじさんじ所属】,110000,16,138036,38h 20m 36s,29435,3695,0.21324147323886522,230.9375,1314.7260662079636,165.90859682367275,72.53740486638742,0.6529616145454136,0.858529448380916,2.736132064757827,13.673521142212882,9.541450863715541,0.0
エクス・アルビオ -Ex Albio-,241000,24,219476,60h 57m 56s,158579,19456,0.7225345823689151,810.6666666666666,2051.8698572842977,269.2231443417808,63.76355790515657,1.339962253773531,1.909114614188004,5.851250898862666,13.483252098149672,13.65286222986956,0.0
レヴィ・エリファ-Levi Elipha-,171000,17,114908,31h 55m 8s,22091,3903,0.19224945173530128,229.58823529411765,723.4608764168815,85.29292088409903,78.96188542175987,16.06609576624614,0.0930880620236556,0.5165317383585587,4.362399011611767,0.0,0.0
葉山舞鈴 _ Hayama Marin,139000,26,438023,121h 40m 23s,147491,16146,0.3367197612910738,621.0,3456.7448451708706,235.08126254552914,84.49026675777877,2.239896419776456,1.1983040235198474,0.8679259027731646,5.697866480065247,5.505740416086513,0.0
ニュイ・ソシエール __[Nui Sociere],255000,24,282695,78h 31m 35s,406661,35868,1.438515007340066,1494.5,9886.960349607463,752.6621737712657,78.21706455413198,1.5997138628583685,1.942232029937364,2.841999103578688,9.06169365463318,6.337296794860412,0.0
葉加瀬 冬雪 _ Hakase Fuyuki,221000,40,283796,78h 49m 56s,168682,22868,0.5943776515525236,571.7,3567.0838980738085,316.7858776961061,71.31443700928457,3.629015785125731,4.804028405029384,5.5700615623826275,14.682457238177689,0.0,0.0
加賀美 ハヤト_Hayato Kagami,319000,19,205340,57h 2m 20s,269368,32503,1.3118145514756014,1710.6842105263158,7853.614842451038,823.0251145507569,100.0,0.0,0.0,0.0,0.0,0.0,0.0
夜見れな_yorumi rena【にじさんじ所属】,281000,32,461552,128h 12m 32s,245296,25814,0.5314590772004021,806.6875,5639.156811828086,438.3478834618503,75.29275723119842,1.6162456780905605,1.3561595973296359,5.843802579831478,9.451551237773014,6.439483675776884,0.0
黛 灰 _ Kai Mayuzumi【にじさんじ】,308000,9,87417,24h 16m 57s,129482,16858,1.4811993090588786,1873.111111111111,8999.136937012965,1066.585726095709,100.0,0.0,0.0,0.0,0.0,0.0,0.0
アルス・アルマル -ars almal- 【にじさんじ】,395000,31,445339,123h 42m 19s,232802,35461,0.5227523302472947,1143.9032258064517,3750.2840956185523,441.4310331062456,80.94014760046421,1.156846852107944,1.8973561140060105,3.8810458500708656,6.7519694261341865,5.372634157216775,0.0
相羽ういは〖Aiba Uiha〗にじさんじ所属,180000,17,142102,39h 28m 22s,36798,5349,0.25895483525918,314.6470588235294,1359.4877279155342,213.5122775089499,69.60972137287222,4.026805105031397,3.156892351310362,4.43252121215418,13.256502377699363,5.51755758093248,0.0
天宮 こころ _ Amamya Ch.,232000,16,120118,33h 21m 58s,80879,11508,0.6733295592667211,719.25,3621.5646244636678,240.65618629073302,78.86591505909996,2.3422852699300774,2.4240308516729403,3.8174910936394446,7.458347699480663,5.091930026176907,0.0
エリー・コニファー _ Eli Conifer【にじさんじ】,130000,30,165316,45h 55m 16s,53771,5767,0.3252619226209199,192.23333333333332,1603.796304103944,133.17545681862921,69.00149091635362,3.159635315049385,1.5322619445392809,3.1003091111434173,23.2063027129143,0.0,0.0
ラトナ・プティ -Ratna Petit -にじさんじ所属,229000,24,217240,60h 20m 40s,89650,15340,0.41267722334744983,639.1666666666666,1512.6150956328024,252.9747653108072,79.24963107518725,2.973580492726581,2.280561542375808,3.4582193669423327,12.038007522768018,0.0,0.0
早瀬 走 _ Hayase Sou【にじさんじ所属】,140000,17,187189,51h 59m 49s,72560,9665,0.3876296149880602,568.5294117647059,4060.8912126744385,516.0407103183646,89.79079431109339,1.0680636654404445,0.8542878562999469,1.4326958232054612,6.854158343960758,0.0,0.0
健屋花那【にじさんじ】KanaSukoya,303000,20,108707,30h 11m 47s,96450,10997,0.8872473713744286,549.85,3353.6165631496365,194.2294560022948,51.79806796872495,4.3177537100524,5.300069928147913,9.878324664562927,28.70578372851181,0.0,0.0
シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,183000,11,160268,44h 31m 8s,68765,9663,0.4290625701949235,878.4545454545455,3279.4812782733575,352.70167667204635,78.79812281999261,2.0415656111717264,1.5065958614726886,2.8349166411605258,14.818799066202441,0.0,0.0
フミ_にじさんじ,135000,25,216401,60h 6m 41s,119213,16343,0.5508893212138576,653.72,4141.93459348004,677.1609557557199,73.98493048189114,1.9659359098906868,6.681330287427266,17.367803320790905,0.0,0.0,0.0
星川サラ _ Sara Hoshikawa,384000,21,108374,30h 6m 14s,144527,24630,1.3335947736541975,1172.857142857143,5573.605770995666,1055.2414551046734,71.16234714560183,4.025244409677504,2.1129427761021207,4.752725673936974,17.94673999468158,0.0,0.0
山神 カルタ _ Karuta Yamagami,104000,19,113260,31h 27m 40s,69447,7214,0.6131644004944375,379.6842105263158,1526.641480677869,93.17310808476574,65.26093840699873,3.2325341488801467,2.5620583441655755,5.223011121706667,23.721457978248885,0.0,0.0
えま★おうがすと,149000,3,14488,4h 1m 28s,11832,1090,0.8166758696852567,363.3333333333333,1750.8132396118096,164.8949160324033,64.08453131825512,2.714232336748862,1.8282868100236267,5.32778028853701,24.015648951232436,2.029520295202952,0.0
ルイス・キャミー,138000,17,123962,34h 26m 2s,51809,8041,0.41794259531146644,473.0,2074.1023678577058,283.8489915430386,83.99426085282656,4.358935031225556,11.646804115947889,0.0,0.0,0.0,0.0
魔使マオ -matsukai mao-,128000,16,137591,38h 13m 11s,91708,8306,0.6665261536001628,519.125,3025.4161036128567,204.08915535454923,100.0,0.0,0.0,0.0,0.0,0.0,0.0
不破 湊 _ Fuwa Minato【にじさんじ】,235000,29,387778,107h 42m 58s,434919,50002,1.1215669790447111,1724.2068965517242,10090.761769981598,771.9717046679119,100.0,0.0,0.0,0.0,0.0,0.0,0.0
白雪 巴_Shirayuki Tomoe【にじさんじ】,190000,23,192354,53h 25m 54s,225282,18310,1.1711843788015845,796.0869565217391,7626.481985962691,384.09396495264474,55.694251258051544,4.626470179887975,4.433577893526036,7.920327454664838,27.325373213869607,0.0,0.0
グウェル・オス・ガール _ Gwelu Os Gar 【にじさんじ】,150000,15,55771,15h 29m 31s,75295,20334,1.350074411432465,1355.6,7176.2650320012435,2056.8202157699634,96.76815727037193,2.9740223289941987,0.021206058012495085,0.021206058012495085,0.2154082846088816,0.0,0.0
ましろ _ Mashiro,187000,3,11361,3h 9m 21s,20782,3152,1.8292403837690343,1050.6666666666667,1225.326623122722,269.9895059689049,82.68279118964097,2.6305213722357474,1.7983184929978564,10.937881323219955,1.9504876219054763,0.0,0.0
奈羅花 - Naraka -,116000,19,126168,35h 2m 48s,28390,5359,0.22501743706803626,282.05263157894734,735.242256292847,147.58254702753473,81.92339693251998,2.927430792166708,0.38275939696091543,1.994120480290809,12.77229239806159,0.0,0.0
来栖 夏芽-kurusu natsume-【にじさんじ】,86500,18,117797,32h 43m 17s,48408,5725,0.41094425155139774,318.05555555555554,2038.6825619098463,143.1200533580204,71.44762638589505,7.373690263636954,3.2014191470586595,4.924561839250303,13.052702364159034,0.0,0.0
フレン・E・ルスタリオ,236000,20,97284,27h 1m 24s,178092,21557,1.8306401874922906,1077.85,5385.39947597107,400.2212907616827,65.74944424530642,4.2104309003257825,3.006319180563455,5.7733305749019825,21.26047509890236,0.0,0.0
メリッサ・キンレンカ,247000,6,30790,8h 33m 10s,21865,4689,0.7101331601169211,781.5,2320.763272431436,217.40538171811662,80.47232408191347,3.6900762041838027,2.58904431321161,4.46360920103954,8.784946199651573,0.0,0.0
イブラヒム【にじさんじ】,229000,26,354102,98h 21m 42s,436389,36658,1.232382194960774,1409.923076923077,10089.973970310253,590.7320829666811,62.35259700364117,4.120600377874907,33.52680261848392,0.0,0.0,0.0,0.0
長尾 景 _ Nagao Kei【にじさんじ】,147000,29,254586,70h 43m 6s,183743,23510,0.7217325383171109,810.6896551724138,5232.085185815079,402.9090737063101,81.07176764190125,3.5033864378049477,1.941591954841862,10.103660217104983,3.3795937483469647,0.0,0.0
弦月 藤士郎 _ Genzuki Tojiro【にじさんじ】,116000,29,189206,52h 33m 26s,118148,19061,0.6244410853778422,657.2758620689655,3097.408143813083,464.4648146409035,73.48442972369934,6.871716213942135,2.878962907240664,8.96702892601302,7.797862229104847,0.0,0.0
甲斐田 晴 _ Kaida Haru【にじさんじ】,145000,27,264584,73h 29m 44s,183436,21826,0.6932996704260272,808.3703703703703,4371.15858542302,308.51370099835714,74.1658616034323,5.835464873225539,4.588545831047113,10.639523957567718,4.770603734727323,0.0,0.0
空星きらめ_Sorahoshi Kirame【にじさんじ】,103000,14,173776,48h 16m 16s,53046,5316,0.3052550409722862,379.7142857142857,3560.768261960418,156.546099659753,100.0,0.0,0.0,0.0,0.0,0.0,0.0
朝日南アカネ _ Asahina Akane 【にじさんじ】,65800,20,118999,33h 3m 19s,65843,6562,0.5533071706484929,328.1,3159.187108552152,197.65517554835904,100.0,0.0,0.0,0.0,0.0,0.0,0.0
周央 サンゴ _ Suo Sango【にじさんじ】,84500,11,65547,18h 12m 27s,31092,3179,0.47434665202068743,289.0,1532.5114918744566,86.02674002890032,55.25437195428196,28.56179277275368,16.183835272964362,0.0,0.0,0.0,0.0
東堂コハク_ Todo Kohaku [にじさんじ],70000,7,33738,9h 22m 18s,13861,2245,0.41084237358468195,320.7142857142857,751.1106062738982,105.72718711494265,66.75119401297225,2.6571259918693126,2.171879825938143,28.419800169220295,0.0,0.0,0.0
北小路ヒスイ _ Kitakoji Hisui 【にじさんじ】,115000,23,189728,52h 42m 8s,107102,13245,0.5645028672626076,575.8695652173913,3500.6816315362776,264.47534759626654,65.07851548571026,5.4277433604576135,28.429097522568583,1.0646436312635472,0.0,0.0,0.0
西園チグサ _ Nishizono Chigusa,152000,20,151983,42h 13m 3s,107162,13309,0.7050920168703079,665.45,4373.256944802484,726.3380012812652,70.72155663226407,29.27844336773593,0.0,0.0,0.0,0.0,0.0
