channel_id,title,subscriber_count
UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,681000
UCLO9QDxVL4bnvRRsz6K4bsQ,勇気ちひろ,374000
UCYKP16oMX9KKPbrNgo_Kgag,エルフのえる _ にじさんじ所属,186000
UCsg-YqdqQ-KFF0LNk23BY4A,樋口楓【にじさんじ所属】,376000
UC6oDys1BGgBsIC3WhG1BovQ,Shizuka Rin Official,314000
UCeK9HFcRZoTrvqcUCtccMoQ,渋谷ハジメのはじめ支部,118000
UCpnvhOIJ6BN-vPkYU9ls-Eg,鈴谷アキの陽だまりの庭,106000
UCvmppcdYf4HOv-tFQhHHJMA,《にじさんじ所属の女神》モイラ,114000
UCwokZsOK_uEre70XayaFnzA,鈴鹿詩子 Utako Suzuka,402000
UCmUjjW5zF1MMOhYUwwwQv9Q,宇志海いちご,145000
UC_GCs6GARLxEHxy1w40d6VQ,家長むぎ【にじさんじ所属】,144000
UC48jH1ul-6HOrcSSfoR02fQ,Yuhi Riri Official,156000
UCt0clH12Xk1-Ej5PXKGfdPA,♥️♠️物述有栖♦️♣️,221000
UCBiqkFJljoxAj10SoP2w2Cg,文野環【にじさんじの野良猫】ふみのたまき,231000
UCXU7YYxy_iQd3ulXyO-zC2w,伏見ガク【にじさんじ所属】,111000
UCUzJ90o1EjqUbk2pBAy0_aw,Gilzaren III Season 2,79200
UCv1fFr156jc65EMiLbaLImw,剣持刀也,276000
UCtpB6Bvhs1Um93ziEDACQ8g,森中花咲,197000
UCspv01oxUFf_MTSipURRhkA,Kanae Channel,535000
UCBi8YaVyZpiKWN3_Z0dCTfQ,赤羽葉子ちゃんねる,129000
UCoztvTULBYd3WmStqYeoHcA,笹木咲 _ Sasaki Saku,517000
UC0g1AE0DOjBYnLhkgoRWN1w,本間ひまわり - Himawari Honma -,580000
UC9EjSJ8pvxtvPdxLOElv73w,魔界ノりりむ,188000
UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha Channel,595000
UC_4tXjqecqox5Uc05ncxpxg,椎名唯華 _ Shiina Yuika,413000
UC53UDnhAAYwvNO7j_2Ju1cQ,ドーラ,245000
UCRV9d6YCYIMUszK-83TwxVA,轟京子_kyoko todoroki【にじさんじ】,85700
UC1zFJrfEKvCixhsjNSb1toQ,シスター・クレア -SisterClaire-,321000
UCsFn_ueskBkMCEyzCEqAOvg,花畑チャイカ,265000
UCKMYISTJAQ8xTplUPHiABlA,社築,386000
UC6TfqY40Xt1Y0J-N18c85qQ,安土桃,87500
UCryOPk2GZ1meIDt53tL30Tw,鈴木勝 _ Suzuki Masaru【にじさんじ】,128000
UCt5-0i4AVHXaWJrL8Wql3mw,緑仙channel,391000
UC3lNFeJiTq6L3UWoz4g1e-A,卯月コウ,149000
UCWz0CSYCxf4MhRKPDm220AQ,【にじさんじ】神田笑一,154000
UCiSRx1a2k-0tOg-fs6gAolQ,飛鳥ひな【にじさんじ所属】,91000
UCtAvQ5U0aXyKwm2i4GqFgJg,春崎エアル,57700
UCRWOdwLRsenx2jLaiCAIU4A,雨森小夜,128000
UCV5ZZlLjk5MKGg3L0n0vbzw,鷹宮リオン,319000
UCJubINhCcFXlsBwnHp0wl_g,舞元啓介,268000
UCPvGypSgfDkVe7JG2KygK7A,竜胆 尊 _ Rindou Mikoto,376000
UCjlmCrq4TP1I4xguOtJ-31w,でびでび・でびる,326000
UCfQVs_KuXeNAlGa3fb8rlnQ,桜凛月,178000
UCo7TRj3cS-f_1D9ZDmuTsjw,町田ちま【にじさんじ】,259000
UChUJbHiTVeGrSkTdBzVfNCQ,ジョー・力一 Joe Rikiichi,251000
UCoM_XmK45j504hfUWvN06Qg,成瀬 鳴 _ Naruse Naru【にじさんじ】,64200
UCbc8fwhdUNlqi-J99ISYu4A,ベルモンド・バンデラス,301000
UCvzVB-EYuHFXHZrObB8a_Og,矢車りね - Rine Yaguruma -,65700
UCTIE7LM5X15NVugV7Krp9Hw,夢追翔のJUKE BOX,219000
UCmeyo5pRj_6PXG-CsGUuWWg,黒井しば【にじさんじの犬】,142000
UCveZ9Ic1VtcXbsyaBgxPMvg,童田明治-わらべだめいじー-,215000
UCeShTCVgZyq2lsBW9QwIJcw,【3年0組】郡道美玲の教室,286000
UCCVwhI5trmaSxfcze_Ovzfw,夢月ロア🌖Yuzuki Roa,327000
UCg63a3lk6PNeWhVvMRM_mrQ,小野町 春香 _ Onomachi Haruka 【にじさんじ】,111000
UCufQu4q65z63IgE4cfKs1BQ,語部紡,56600
UCHK5wkevfaGrPr7j3g56Jmw,瀬戸 美夜子 - Miyako Seto,92400
UCwQ9Uv-m8xkE5PzRc7Bqx3Q,御伽原 江良 _ Otogibara Era【にじさんじ】,502000
UCXRlIK3Cw_TJIQC5kSJJQMg,戌亥とこ -Inui Toko-,382000
UCHVXbQzkl3rDfsXWo8xi2qw,アンジュ・カトリーナ - Ange Katrina -,417000
UCZ1xuCK1kNmn5RzPYIZop3w,リゼ・ヘルエスタ -Lize Helesta-,441000
UCNW1Ex0r6HsWRD4LCtPwvoQ,三枝明那 _ Saegusa Akina,261000
UC0WwEfE-jOM2rzjpdfhTzZA,愛園 愛美_Aizono Manami,133000
UC_a1ZYZ8ZTXpjg9xUY9sj8w,鈴原るる【にじさんじ所属】,485000
UCHX7YpFG8rVwhsHCx34xt7w,雪城眞尋_Yukishiro Mahiro【にじさんじ所属】,110000
UCIytNcoz4pWzXfLda0DoULQ,エクス・アルビオ -Ex Albio-,241000
UCtnO2N4kPTXmyvedjGWdx3Q,レヴィ・エリファ-Levi Elipha-,171000
UCfipDDn7wY-C-SoUChgxCQQ,葉山舞鈴 _ Hayama Marin,139000
UCUc8GZfFxtmk7ZwSO7ccQ0g,ニュイ・ソシエール __[Nui Sociere],255000
UCGYAYLDE7TZiiC8U6teciDQ,葉加瀬 冬雪 _ Hakase Fuyuki,221000
UCmovZ2th3Sqpd00F5RdeigQ,加賀美 ハヤト_Hayato Kagami,319000
UCL34fAoFim9oHLbVzMKFavQ,夜見れな_yorumi rena【にじさんじ所属】,281000
UCb5JxV6vKlYVknoJB8TnyYg,黛 灰 _ Kai Mayuzumi【にじさんじ】,308000
UCdpUojq0KWZCN9bxXnZwz5w,アルス・アルマル -ars almal- 【にじさんじ】,395000
UCnRQYHTnRLSF0cLJwMnedCg,相羽ういは〖Aiba Uiha〗にじさんじ所属,180000
UCkIimWZ9gBJRamKF0rmPU8w,天宮 こころ _ Amamya Ch.,232000
UCpNH2Zk2gw3JBjWAKSyZcQQ,エリー・コニファー _ Eli Conifer【にじさんじ】,130000
UCIG9rDtgR45VCZmYnd-4DUw,ラトナ・プティ -Ratna Petit -にじさんじ所属,229000
UC2OacIzd2UxGHRGhdHl1Rhw,早瀬 走 _ Hayase Sou【にじさんじ所属】,140000
UC8C1LLhBhf_E2IBPLSDJXlQ,健屋花那【にじさんじ】KanaSukoya,303000
UCHBhnG2G-qN0JrrWmMO2FTA,シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,183000
UCwrjITPwG4q71HzihV2C7Nw,フミ_にじさんじ,135000
UC9V3Y3_uzU5e-usObb6IE1w,星川サラ _ Sara Hoshikawa,384000
UCllKI7VjyANuS1RXatizfLQ,山神 カルタ _ Karuta Yamagami,104000
UCl1oLKcAq93p-pwKfDGhiYQ,えま★おうがすと,149000
UCb6ObE-XGCctO3WrjRZC-cw,ルイス・キャミー,138000
UCerkculBD7YLc_vOGrF7tKg,魔使マオ -matsukai mao-,128000
UC6wvdADTJ88OfIbJYIpAaDA,不破 湊 _ Fuwa Minato【にじさんじ】,235000
UCuvk5PilcvDECU7dDZhQiEw,白雪 巴_Shirayuki Tomoe【にじさんじ】,190000
UC1QgXt46-GEvtNjEC1paHnw,グウェル・オス・ガール _ Gwelu Os Gar 【にじさんじ】,150000
UCfki3lMEF6SGBFiFfo9kvUA,ましろ _ Mashiro,187000
UC-o-E6I3IC2q8sAoAuM6Umg,奈羅花 - Naraka -,116000
UCRcLAVTbmx2-iNcXSsupdNA,来栖 夏芽-kurusu natsume-【にじさんじ】,86500
UCuep1JCrMvSxOGgGhBfJuYw,フレン・E・ルスタリオ,236000
UCwcyyxn6h9ex4sMXGtpQE_g,メリッサ・キンレンカ,247000
UCmZ1Rbthn-6Jm_qOGjYsh5A,イブラヒム【にじさんじ】,229000
UCXW4MqCQn-jCaxlX-nn-BYg,長尾 景 _ Nagao Kei【にじさんじ】,147000
UCGw7lrT-rVZCWHfdG9Frcgg,弦月 藤士郎 _ Genzuki Tojiro【にじさんじ】,116000
UCo2N7C-Z91waaR6lF3LL_jw,甲斐田 晴 _ Kaida Haru【にじさんじ】,145000
UC_82HBGtvwN1hcGeOGHzUBQ,空星きらめ_Sorahoshi Kirame【にじさんじ】,103000
UCe_p3YEuYJb8Np0Ip9dk-FQ,朝日南アカネ _ Asahina Akane 【にじさんじ】,65800
UCL_O_HXgLJx3Auteer0n0pA,周央 サンゴ _ Suo Sango【にじさんじ】,84500
UCebT4Aq-3XWb5je1S1FvR_A,東堂コハク_ Todo Kohaku [にじさんじ],70000
UCRqBKoKuX30ruKAq05pCeRQ,北小路ヒスイ _ Kitakoji Hisui 【にじさんじ】,115000
UCkngxfPbmGyGl_RIq4FA3MQ,西園チグサ _ Nishizono Chigusa,152000
